0,大谷翔平、打撃高評価の中で迫られる「究極の選択」。手術経て二刀流ができる体勢づくり必要【小宮山悟の眼】 データやコラム、多角的な視点で、ファンへ野球の魅力を発信
1,ｉＰｈｏｎｅ日本発売１０年、スマホ先導　人気絶大の巨人、市場一変 SankeiBiz（サンケイビズ）
2,岡山・倉敷で仮設入居開始　トレーラーハウス型 共同通信
3,深刻化するアメリカの教師不足　フィリピンなど外国人の採用進むも賛否 NewSphere
4,校外活動中の児童8人体調不良 共同通信
5,オーディオテクニカが初参入、完全ワイヤレスイヤホン2機種を発売 BCN＋R
6,「お前は日本の恥だ！」に感じる違和感　～「みんな化語」について ハフポスト日本版
7,“名将”ファーガソン氏、当時12歳の超逸材に注目していた。獲得逃した原因は？ フットボールチャンネル | サッカー情報満載！
8,英外相が訪日＝ＥＵ離脱後の関係協議 時事通信社
9,家族の認知症発症を早期発見できる3つの手がかりとは【予防医療の最前線】 ハフポスト日本版
10,三浦新警視総監「期待に応える」　就任会見で抱負、テロ対策課題に 共同通信
11,ファイブフォックスが京都・パリ友情盟約締結60周年記念アイテムを発売 WWD JAPAN.com
12,自民党総裁選、20日午後投開票　安倍氏、議員票の8割超獲得も 共同通信
13,「就活ルールが廃止されるとどーなるの？」と思ったときに読む話。 （後藤和也 大学教員、キャリアコンサルタント） ハフポスト日本版
14,正午のドルは112円前半、日銀が金融政策の現状維持を決定 Reuters
15,【独占】経産大臣が檄を飛ばす官僚働き方改革。ペーパーレス、国会対応前倒し、テレワーク…やれば徹夜はなくせる Business Insider Japan
16,【年収１億円の習慣】「身だしなみ、挨拶、接遇」を徹底すれば、 問題の8割は解消する Diamond Online
17,フリーランスでも大手企業の案件獲得が可能に。直請け二次請けのみのマッチングサイト AMP[アンプ] - ビジネスインスピレーションメディア
18,ロナウドを封じろ――。最強FWと守備の国イタリアDFたちの熱き攻防。 Number Web｜選りすぐりの総合スポーツコラム
19,昆虫からヒントを得た羽ばたくロボットが一回の充電で1キロメートルを飛ぶ TechCrunch Japan
20,水を注ぐこと自体は必要ですが - 非国民通信 BLOGOS - 最新記事
21,東京円、112円台前半 共同通信
22,駐車場シェアの「akippa」と「Smart Parking」が強気の事業提携ーー“パーキング3.0の時代へ” TechCrunch Japan
23,データを駆使した野球の見方を楽しむイベント　元選手とアナリストが対論 野球・MLBの総合コラムサイト
24,文京区教育委員会による「障害児・家庭いじめ」と言える客観的な理由～「地域の学校に特別支援学級を設置して」請願を固辞 ハフポスト日本版
25,リーグ３連覇目前　広島支えるぶれぬ強化方針 日本経済新聞
26,「サンローラン」が新作バッグ発売　巾着にもショルダーにもなる2ウェイバッグ WWD JAPAN.com
27,Chromeブラウザに実装の「パスワード自動生成機能」の威力 Forbes Japan
28,サイボウズ式：「転職先、会話が少なくて寂しい……」と思いきや、オンラインがにぎやかだった ハフポスト日本版
29,スルガ銀・岡野氏らの取締役選任、銀行間で賛否わかれる 朝日新聞デジタル
30,Appleのオンラインストアがクローズ！iPhoneか何かが出るのは確実 TechCrunch Japan
31,オリ東明896日ぶり勝利＆連続無得点36イニングで止める　西武は榎田10勝ならず 野球・MLBの総合コラムサイト
32,【MLB】大谷翔平、第1打席は1度もバット振らず四球　後続倒れ先制点にはつながらず 野球・MLBの総合コラムサイト
33,ジョンソン前英外相、メイ氏のＥＵ離脱案は「自爆チョッキ」と批判 Reuters
34,台風２１号にめげず　岸和田だんじり祭、始まる 朝日新聞デジタル
35,厚真火発の全面復旧１１月以降　経産相　１号機は今月末以降 北海道新聞 どうしんウェブ
36,８月のビール系飲料販売、猛暑でも前年比２％減少 日本経済新聞
37,ロッテ、新座席の年間席価格を発表「選手の白熱プレーをより間近に観戦可能」 データやコラム、多角的な視点で、ファンへ野球の魅力を発信
38,「モリオカの創造性が必要だ！」拙攻が顕著なアンデルレヒトで森岡亮太“待望論”が サッカーダイジェストWeb | 専門3誌のオリジナル記事が満載！
39,米追加関税の意図せぬ成果：中国の競争力向上 The Wall Street Journal
40,【MLB】岩隈久志にマリナーズ盟友から惜別の声続々　“キング”は「偉大な男」と敬意 野球・MLBの総合コラムサイト
41,台風21号被害 関空連絡橋　鉄道を再開　2週間ぶり ホウドウキョク
