,source,theme,title
0,Social Game Info,7,【Google Playランキング(9/8)】「3800万DL記念キャンペーン」実施の『パワプロ』好調　『崩壊3rd』は新戦乙女登場でトップ30入り
1,朝日新聞デジタル,7,ウーバーが国内タクシー配車に本格参入　まずは名古屋
2,TechCrunch Japan,7,バッテリーの命が難民の命、スマホに依存する難民の実情
3,TechCrunch Japan,7,倉庫と工場を検査し警備するドローンをVtrusが発表
4,TechCrunch Japan,7,AI車両管理プラットフォームで2年後のモーダルシフトに備えるAvrios
5,TechCrunch Japan,7,Apple Musicに‘トップチャート’プレイリストが加わる
6,WIRED.jp,7,テスラの株式非公開をめぐる大騒動は、「撤回」だけでは終わらない
7,レスポンス,7,【メルセデスベンツ CLS 新型試乗】メルセデスの技術革新は留まるところを知らない…中村孝仁
8,ギズモード・ジャパン,7,INFOBAR xvハンズオン：ノスタルジックなポチポチボタンにLOVE
9,TechCrunch Japan,7,5カメラスマートフォンがNokiaブランドで発売される、新製品のアイデアもネタ切れ？
10,ギズモード・ジャパン,7,手のひらサイズで6in1。万能充電ケーブル「Allroundo」がAmazonでセール実施中
11,日刊工業新聞 電子版,7,北海道地震／ダイハツ、１０日は国内３工場停止　道内からの部品調達不明
12,WIRED.jp,7,画面から出る超音波で、表示内容を「のぞき見」できる：研究結果
13,PRESIDENT Online：「仕事人×生活人」のための問題解決塾,7,"28歳女性役員が""年下社員""に使った作戦 - 社員の7割は、挨拶すら無視した"
14,PRESIDENT Online：「仕事人×生活人」のための問題解決塾,7,"アマゾンも参戦""QRコード決済""のうまみ - 消費者のデータが新たな金脈になる"
15,TechCrunch Japan,7,Amazonのレジ無しコンビニAmazon Goがニューヨークにも開店する
16,レスポンス,7,スーパーSUV「アウディ RS Q8」、巨体揺らしニュル爆走［スクープ動画］
17,NewSphere,7,ラジオ、ゲームセンターからスマホまで　親を心配させてきた“新しい娯楽”たち
18,TechCrunch Japan,7,Adidasのスニーカーのサプライチェーンが3Dプリントで劇的に変わりオンデマンド化へ
19,TechCrunch Japan,7,AmazonのレジなしコンビニAmazon Goがニューヨークにも開店する
20,朝日新聞デジタル,7,チェーンソーで追いかけ回した疑い、男を逮捕　宮崎
21,Social Game Info,7,【クリスマスおもちゃ見本市】セガトイズ、『動く絵本プロジェクター ドリームスイッチ』を出展…世界中の絵本を日本語・英語で読み聞かせが可能に
22,マッシュメディア,7,高品質な食肉を年中無休24時間いつでも販売！ニューヨークの自動販売機型精肉店
23,レスポンス,7,標準車以上、Mモデル未満の「Mパフォーマンス」とは？…BMW
24,ギズモード・ジャパン,7,スペースシャトル・ディスカバリーの中を360度動画で探検してみよう
25,WIRED.jp,7,1兆ドル企業になったアマゾンの敵は、もはや「政府」だけかもしれない
26,WIRED.jp,7,Facebookによる「不適切なコンテンツ」の監視は、問題だらけだった
27,京都新聞,7,キャラが配る！カードラリーも　10月滋賀でご当地キャラ博
28,ギズモード・ジャパン,7,サンゴ礁荒らしのヒトデを駆逐するロボットが超優秀
29,レスポンス,7,レクサス、ラグジュアリーヨット『LY650』発表…ブランド第4のフラッグシップ
30,レスポンス,7,【ダイハツ ミラトコット 試乗】「抜く」ところと引き締めるべきところ…諸星陽一
31,Forbes Japan,7,ビル・ゲイツが推奨、「賢く学べる」4つの生涯学習サイト
32,財経新聞,7,富士通、液浸冷却システムを販売　ポスト京の世界最速返り咲きも支えるか
33,TechCrunch Japan,7,裕福な観光客を哀れむバーニングマンの本当の価値
34,TechCrunch Japan,7,人気瞑想アプリHeadspaceがAlpine.AIの買収でAIを装備へ
35,WIRED.jp,7,オープンカーになった「BMW i8」の魅力は、屋根をなくしただけに終わらない：試乗レヴュー
36,レスポンス,7,ランボルギーニの新型ハイパーカー、詳細スペックが流出？ 価格は2.8億円か
37,Forbes Japan,7,小型高級SUVの新スター誕生か、ジャガーEペース試乗レポ
38,GQ JAPAN,7,衝撃の聖地ルビコン・トレイル制覇！──それなのに本質はエコ＆ゴージャス化
39,朝日新聞デジタル,7,北海道の生乳工場、９割近くが再開　残る５カ所も準備
40,Social Game Info,7,アサミズカンパニー、受注生産商品「ニューダンガンロンパV3 モデル ウォッチ」を期間限定で予約販売開始！
41,財経新聞,7,一人焼肉を思う存分に堪能、「じゅーじゅー石焼きプレート」9月下旬発売
42,レスポンス,7,【BMW X2 試乗】いなせな存在感に惹かれた…島崎七生人
43,共同通信,7,トヨタ自動車北海道、10日に操業再開へ
44,WIRED.jp,7,英国で消えゆく小銭、危機感を抱くホームレスの人々
45,Forbes Japan,7,エヌビディアも出資の「1キロ先を見通せる」自動運転トラック
46,TechCrunch Japan,7,いくつもの人気iPhoneアプリがユーザーの位置情報を売っている
47,ねとらぼ,7,KDDIが日本初「船舶型基地局」の運用を開始　北海道日高沖に停泊し電波を届ける
48,共同通信,7,スーパーカミオカンデで内部公開　水を抜いた検出器のタンク
49,GIGAZINE,7,IBMが「心を読んでコーヒーを届けるドローン」の特許を取得
50,Just Simple,7,アメリカを中心に、世界の個人間におけるモノの売買サービスを調べてみた
51,＠DIME アットダイム,7,スマホの進化と共に重要性が増す冷却システムに注目！
52,Forbes Japan,7,3Dプリンターが可能にする「古くて新しい」イノベーション
53,ギズモード・ジャパン,7,恐竜、飼えます。ヴェロキラプトル・ロボットが最高のペットだった
54,毎日新聞,7,アリババ：「馬会長退任せず」傘下香港紙、米紙報道を否定
55,THE BRIDGE,7,自動運転技術に取り組む46社まとめ【CBI調査】
56,NewsPicks編集部,7,シリコンバレー支配に反発、インドの「脱・テック植民地」戦略
57,WIRED.jp,7,グーグルは「URLがない世界」をつくろうとしている
58,AERA dot. (アエラドット) ,7,メルカリで「ユニクロ」が定価より高くても売れる理由
59,文春オンライン,7,「わたしのパスワードも流出している！」をクリック１回で確かめる方法
60,共同通信,7,トヨタ、13日に全面再開へ　完成車工場を順次稼働
61,Reuters,7,日立、中国テンセントと戦略的提携で合意
62,朝日新聞デジタル,7,トヨタ自動車、１１日から工場再開　部品調達に一定めど
63,Reuters,7,トヨタ自動車、13日までに国内の全ての完成車工場で生産を再開へ
64,レスポンス,7,ブリヂストンサイクル、子ども向け“ファーストバイク”自転車を発売…子乗せ自転車を卒業したら
65,共同通信,7,トヨタ、13日に完成車工場を全面再開
66,ギズモード・ジャパン,7,新型iPhoneのプロセッサ、最前線の7nmプロセスとなるか
67,ITmedia ビジネスオンライン,7,2万円台で0.5キロの“安くて軽い”アシストスーツ登場　腰のサポートに特化
68,Reuters,7,米アップル、陰謀論者ジョーンズ氏のアプリ禁止　ツイッターに続き
69,レスポンス,7,メルセデスベンツ GLE 新型、ティザーイメージ
70,リセマム,7,英語で楽しくプログラミング「Cubetto English Bundle」限定90セット販売
71,レスポンス,7,アウディ A6アバント、新型は全車48Vマイルドハイブリッドに　欧州発売へ
72,共同通信,7,乳業2社が北海道工場再開　雪印と明治、停電解消で
73,朝日新聞デジタル,7,佐賀・唐津の港で車転落、熊本の女性ら２人死亡　親子か
74,ITmedia エンタープライズ,7,Alibabaのジャック・マー会長引退は2019年9月10日
75,Reuters,7,中国アリババの馬会長、2019年9月に退任　後任はチャンＣＥＯ
76,財経新聞,7,日産・e-POWERなど発電専用エンジンのこれから(2) 「対抗ピストン・単気筒」エンジン
77,西日本新聞,7,高田元長崎県知事死去
78,Bloomberg,7,アップル、対中関税実施なら「アップルウオッチ」など人気製品値上がり
79,ニュースイッチ,7,未開のＶＲ医療に挑む型破りな「アイデア」と「ビジネス力」とは
80,Business Insider Japan,7,【全文掲載】1年後の引退表明、アリババ創業者ジャック・マーの手紙——アリババの文化は継承できる
81,マイナビニュース,7,超小型ケータイ「NichePhone-S 4G」を買うべき5つの理由
82,ASCII.jp,7,約60時間を非常用電源設備で乗り切った石狩データセンターの奇跡
83,ギズモード・ジャパン,7,Apple、Yahoo、Adobe、20年前のウェブサイトってどんなデザインだったの？
